name,email,url
"0212 Records","info@0212records.com","https://labelsbase.net/0212Records"
"036Records","036rec@gmail.com","https://labelsbase.net/036records"
"0UT","label0UT@gmail.com","https://labelsbase.net/0ut"
"100% Pure","labels@planetgong.nl","https://labelsbase.net/100-percent-pure"
"1080p","info@1080pcollection.net","https://labelsbase.net/1080p"
"1103 Musik Berlin","demos@1103musik.com","https://labelsbase.net/1103-musik-berlin"
"120dB Records","info@120db.org","https://labelsbase.net/120db-records"
"124 Bpm Records","demos124bpm@gmail.com","https://labelsbase.net/124-bpm-records"
"129 Records","129.recordings@gmail.com","https://labelsbase.net/129-records"
"12Elve Records","info@12elverecords.com","https://labelsbase.net/12elverecords"
"12+1 London","info@12plus1london.com","https://labelsbase.net/12plus1london"
"141 Records","141recordsltd@gmail.com","https://labelsbase.net/141records"
"1605","info@sixteenofive.com","https://labelsbase.net/1605"
"1642 Records","svenscottdj@gmail.com","https://labelsbase.net/1642-records"
"17 Steps","allan@involvedmanagement.com","https://labelsbase.net/17-steps"
"18-09 Records","info@18-09records.com","https://labelsbase.net/18-09-records"
"1980 Recordings","demos@1980recordings.com","https://labelsbase.net/1980-recordings"
"1990 Recordings","1990@tvrecords.co.uk","https://labelsbase.net/1990-recordings"
"1994 Music","label1994music@hotmail.com","https://labelsbase.net/1994-music"
"19Box Recordings","manage@19boxrec.com","https://labelsbase.net/19box-recordings"
"19 REC","diecinueverecdemos@gmail.com","https://labelsbase.net/19rec"
"2-Dutch Records","contact@2-dutch.nl","https://labelsbase.net/2-dutch-records"
"200 dB Records","200db.records@gmail.com","https://labelsbase.net/200-db-records"
"20/20 Vision","andy@2020recordings.com","https://labelsbase.net/2020-vision"
"238W","info@238west.com","https://labelsbase.net/238w"
"2511 Records","2511records@gmail.com","https://labelsbase.net/2511records"
"2/57 Recordings","257recordings@gmail.com","https://labelsbase.net/257-recordings"
"2Bemusic","info@2bemusic.net","https://labelsbase.net/2bemusic"
"2Dance Records","info@2dancerecords.com","https://labelsbase.net/2dance-records"
"2DIY4","info@2diy4.de","https://labelsbase.net/2diy4"
"2Line Records","2linerecords.oficial@gmail.com","https://labelsbase.net/2line-records"
"2M records","demo@nimirecords.nl","https://labelsbase.net/2mrecords"
"2Rock Recordings","contact@2rockrecordings.com","https://labelsbase.net/2rock-recordings"
"2Ten Recordings","2tenrecordings@gmail.com","https://labelsbase.net/2ten-recordings"
"2W Records","demo@2w-records.com","https://labelsbase.net/2w-records"
"3000 Grad Records","3000@3000grad.com","https://labelsbase.net/3000-grad-records"
"303Lovers","303lovers@303lovers.com","https://labelsbase.net/303lovers"
"33 Degrees Fahrenheit","contact@33degreesfahrenheit.com","https://labelsbase.net/33degreesfahrenheit"
"33 Music","demos@1980recordings.com","https://labelsbase.net/33music"
"+39 records","39@thinkclouds.com","https://labelsbase.net/39records"
"3LCTRO RECORDS","arseniybashirov@gmail.com","https://labelsbase.net/3lctro-records"
"3(R135)",,"https://labelsbase.net/3r135"
"3rd Avenue","info@soundavenue.be","https://labelsbase.net/3rd-avenue"
"3xA Music","cliniquerecordings@gmail.com","https://labelsbase.net/3xa-music"
"404 Deep Records","404deeprecords@gmail.com","https://labelsbase.net/404deeprecords"
"405 Recordings","jimmy@xelondigital.com","https://labelsbase.net/405-recordings"
"43 Degrees Records",,"https://labelsbase.net/43degreesrecords"
"48Records","48threcords@gmail.com","https://labelsbase.net/48Records"
"4AD","4ad@4ad.com","https://labelsbase.net/4ad"
"4AllRecords","contact@emusic4all.com","https://labelsbase.net/4allrecords"
"50 Weapons","info@50weapons.com","https://labelsbase.net/50-weapons"
"5150","ose@5150RecordsChicago.com","https://labelsbase.net/5150"
"56 Dance Therapy",,"https://labelsbase.net/56-dance-therapy"
"5EA Drone Records","5eadrone@thinkclouds.com","https://labelsbase.net/5eadrone"
"5howtime Music","5howtime@gmx.ch","https://labelsbase.net/5howtime-music"
"5Stars","vladhook@gmail.com","https://labelsbase.net/5Stars"
"64K Recordings","64KRecordingsinfo@gmail.com","https://labelsbase.net/64k-recordings"
"666 Recordings","666recordings@gmail.com","https://labelsbase.net/666-recordings"
"6913 Digital","label@6913digital.com","https://labelsbase.net/6913-digital"
"6alax6 Music","support@6alax6music.com","https://labelsbase.net/6alax6-music"
"6 Deep Under",,"https://labelsbase.net/6deepunder"
"6K Music (Armada)","info@armadamusic.com","https://labelsbase.net/6k-music-armada"
"6 Season Records","6seasonrecords@gmail.com","https://labelsbase.net/6seasonrecords"
"7 Wallace","demos@7-wallace.co.uk","https://labelsbase.net/7-wallace"
"71 Records","demo71records@gmail.com","https://labelsbase.net/71records"
"73 Muzik","info@73muzik.com","https://labelsbase.net/73-muzik"
"7C Recordings","info@7crecordings.com","https://labelsbase.net/7c-recordings"
"7eolett Recordings","KarlijnHarding@gmail.com","https://labelsbase.net/7eolett-recordings"
"7teen Records","7teenrecordsmusic@gmail.com","https://labelsbase.net/7teen-records"
"7th Cloud","7th.cloud@gmx.net","https://labelsbase.net/7th-cloud"
"808 Recordings","contact@808recordings.com","https://labelsbase.net/808-recordings"
"83","83labelspain@gmail.com","https://labelsbase.net/83"
"84Bit Music","info.84bit@gmail.com","https://labelsbase.net/84bit-music"
"898 Records","898records@gmail.com","https://labelsbase.net/898-records"
"8Ball Music","info@8ballmusic.nl","https://labelsbase.net/8ball-music"
"8Bit","info@8bit-records.de","https://labelsbase.net/8bit"
"9000 Audio Records","info@9000audio.com","https://labelsbase.net/9000-audio-records"
"909 Individual","909individual@gmail.com","https://labelsbase.net/909-individual"
"91 Records","cardao@live.com.pt","https://labelsbase.net/91-records"
"911 Recordings","n911demos@hotmail.com","https://labelsbase.net/911-recordings"
"9191UltraSonica Recordings","demo@9191ultrasonica.com","https://labelsbase.net/9191ultrasonica-recordings"
"96 Musique","nodemo@96musique.com","https://labelsbase.net/96-musique"
"99 CATS","weare99cats@gmail.com","https://labelsbase.net/99-cats"
"99 WAVES Records","office@99waves.com","https://labelsbase.net/99-waves"
"99G Record Music","99gradosrecordmusic@gmail.com","https://labelsbase.net/99g-record-music"
"9G Records","info@9grecords.com","https://labelsbase.net/9g-records"
"9th Chord Recordings","9thchordrecordings@gmail.com","https://labelsbase.net/9th-chord-recordings"
"A-Gain Records","demo@a-gainrecords.com","https://labelsbase.net/a-gain-records"
"A-MzD Recordings","info@a-mzd.com","https://labelsbase.net/a-mzd-recordings"
"A-STARS PRO","astarspro@gmail.com","https://labelsbase.net/a-stars-pro"
"A State Of Trance","info@armadamusic.com","https://labelsbase.net/a-state-of-trance"
"A-tech","info@attack-records.com","https://labelsbase.net/a-tech"
"A-Traction Records","contact@a-tractionrecords.com","https://labelsbase.net/a-traction-records"
"A-ttack","info@attack-records.com","https://labelsbase.net/a-ttack-records"
"A Youth","info@a-youth.com","https://labelsbase.net/a-youth"
"A3 Music","demo@imagemusic.ru","https://labelsbase.net/a3-music"
"A503X RECORDS",,"https://labelsbase.net/a503x-records"
"Aba Recordings","abarecordings@gmail.com","https://labelsbase.net/aba-recordings"
"Ababili Recordings","ababilirecordings@gmail.com","https://labelsbase.net/ababili-recordings"
"Abhishek Band Company","contact@abcthelabel.in","https://labelsbase.net/abc"
"ABCDEEP Records","info@abcdeep.ru","https://labelsbase.net/abcdeep-records"
"Abducted Records","info@abductedrecords.com","https://labelsbase.net/abducted-records"
"Abeone Record","abeonerecord@gmail.com","https://labelsbase.net/abeone-record"
"About Disco Records","aboutdisco@yahoo.com","https://labelsbase.net/about-disco-records"
"About Bass Records",,"https://labelsbase.net/aboutbassrecords"
"Abracadabra Recordings","abracadabrarecords.si@gmail.com","https://labelsbase.net/abracadabra"
"Absence Of Facts","contact@aof.fi","https://labelsbase.net/absence-of-facts"
"Abstinence Records","deejayhiero@gmail.com","https://labelsbase.net/abstinence-records"
"Abstract Reasoning Records","info@abstractreasoning-records.com","https://labelsbase.net/abstract-reasoning-records"
